a1	a2
11453	8559
11532	79875
9022	26266
8570	15491
8915	17886
13843	10135
21234	27296
24219	22263
8975	10465
50415	27876
13512	12103
57184	19581
20548	11472
12428	23276
7639	21240
33894	61289
8869	29624
5895	23876
9602	114330
